Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
410,Carlos Pérez,32,Oakland Athletics,OAK,66,189,168,17,38,4,0,6,20,0,0,13,40,0.226,0.293,0.357,0.650,85,60,4,4,1,3,0,0.3862,422,73
411,Nick Maton,26,Detroit Tigers,DET,93,293,249,29,43,9,0,8,32,1,2,38,73,0.173,0.288,0.305,0.593,63,76,4,3,1,2,1,0.3857,419,113
412,Christian Bethancourt,31,Tampa Bay Rays,TBR,104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,74,120,6,0,1,3,0,0.3855,393,128
413,Isiah Kiner-Falefa,28,New York Yankees,NYY,113,361,326,39,79,12,1,6,37,14,5,28,70,0.242,0.306,0.340,0.646,78,111,12,3,1,3,0,0.3850,380,139
414,Mitch Haniger,32,San Francisco Giants,SFG,61,229,211,27,44,13,1,6,28,1,0,15,65,0.209,0.266,0.365,0.631,73,77,7,2,0,1,0,0.3843,388,88
415,Tony Kemp,31,Oakland Athletics,OAK,124,419,359,42,75,13,3,5,27,15,4,44,40,0.209,0.303,0.304,0.607,76,109,9,6,7,3,0,0.3842,415,161
416,Chad Wallach,31,Los Angeles Angels,LAA,65,172,157,18,31,5,1,7,15,0,1,13,57,0.197,0.259,0.376,0.635,70,59,5,0,2,0,0,0.3837,375,66
417,Nick Gonzales,24,Pittsburgh Pirates,PIT,35,128,115,12,24,8,1,2,13,0,1,6,36,0.209,0.268,0.348,0.616,67,40,0,4,1,2,0,0.3828,469,49
418,Mark Vientos,23,New York Mets,NYM,65,233,218,19,46,5,1,9,22,1,0,10,71,0.211,0.253,0.367,0.620,69,80,5,3,0,2,0,0.3820,416,89
419,Alejandro Kirk,24,Toronto Blue Jays,TOR,123,422,372,34,93,16,0,8,43,0,0,42,45,0.250,0.334,0.358,0.692,93,133,21,6,0,2,1,0.3815,364,161
420,Patrick Bailey,24,San Francisco Giants,SFG,97,353,326,29,76,18,1,7,48,1,0,21,100,0.233,0.285,0.359,0.644,77,117,8,3,2,1,0,0.3796,411,134
421,Reese McGuire,28,Boston Red Sox,BOS,72,206,187,15,50,12,1,1,16,2,1,11,53,0.267,0.310,0.358,0.668,80,67,2,1,2,1,0,0.3786,428,78
422,David Villar,26,San Francisco Giants,SFG,46,140,124,15,18,6,0,5,12,1,1,11,45,0.145,0.236,0.315,0.550,51,39,1,4,0,1,0,0.3786,462,53
423,Miguel Cabrera,40,Detroit Tigers,DET,98,370,334,21,86,20,0,4,34,0,0,31,74,0.257,0.322,0.353,0.675,86,118,11,2,0,3,0,0.3784,394,140
424,Yasmani Grandal,34,Chicago White Sox,CHW,118,405,363,33,85,14,0,8,33,0,0,36,86,0.234,0.309,0.339,0.647,77,123,11,4,0,2,1,0.3778,409,153
425,Gabriel Arias,23,Cleveland Indians,CLE,122,345,315,36,66,15,0,10,26,3,4,28,113,0.210,0.275,0.352,0.628,75,111,9,1,0,1,0,0.3768,398,130
426,Gavin Sheets,27,Chicago White Sox,CHW,118,344,311,24,63,10,0,10,43,1,0,28,66,0.203,0.267,0.331,0.599,63,103,6,1,0,4,2,0.3750,417,129
