Rank,Name,Age,TmFull,team_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
20,Spencer Steer,26,Cincinnati Reds,CIN,1,4,3,2,2,1,0,0,2,1,0,0,1,.667,.750,1.000,1.750,378,3,0,1,0,0,0,1.2500,20,5
21,Mookie Betts,31,Los Angeles Dodgers,LAD,3,15,11,5,7,1,0,2,8,0,0,4,0,.636,.733,1.273,2.006,441,14,0,0,0,0,0,1.2000,21,18
22,Rafael Devers,27,Boston Red Sox,BOS,1,5,5,1,2,1,0,1,2,0,0,0,1,.400,.400,1.200,1.600,341,6,0,0,0,0,0,1.2000,22,6
23,Adolis García,31,Texas Rangers,TEX,1,5,4,1,2,0,0,1,1,0,0,1,1,.500,.600,1.250,1.850,420,5,0,0,0,0,0,1.2000,23,6
24,Lourdes Gurriel Jr,30,Arizona Diamondbacks,ARI,1,5,5,3,3,0,0,1,5,0,0,0,2,.600,.600,1.200,1.800,385,6,0,0,0,0,0,1.2000,24,6
25,Bryan Reynolds,29,Pittsburgh Pirates,PIT,1,6,5,1,2,1,0,1,2,0,0,1,2,.400,.500,1.200,1.700,355,6,0,0,0,0,0,1.1667,25,7
26,Nick Ahmed,34,San Francisco Giants,SFG,1,3,3,0,2,1,0,0,2,0,0,0,0,.667,.667,1.000,1.667,353,3,0,0,0,0,0,1.0000,26,3
27,Vidal Bruján,26,Miami Marlins,MIA,1,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,48,0,0,0,0,0,1,1.0000,27,2
28,Kerry Carpenter,26,Detroit Tigers,DET,1,1,0,0,0,0,0,0,0,0,0,0,0,,1.000,,,,0,0,1,0,0,0,1.0000,28,1
29,Jazz Chisholm Jr,26,Miami Marlins,MIA,1,5,3,2,1,1,0,0,0,0,0,2,0,.333,.600,.667,1.267,248,2,0,0,0,0,1,1.0000,29,5
30,Carlos Correa,29,Minnesota Twins,MIN,1,5,4,0,3,1,0,0,2,0,0,1,0,.750,.800,1.000,1.800,421,4,0,0,0,0,0,1.0000,30,5
31,Oneil Cruz,25,Pittsburgh Pirates,PIT,1,6,5,1,1,0,0,1,1,0,0,1,3,.200,.333,.800,1.133,204,4,0,0,0,0,1,1.0000,31,6
32,Mauricio Dubón,29,Houston Astros,HOU,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,486,1,0,0,0,0,0,1.0000,32,1
33,Jake Fraley,29,Cincinnati Reds,CIN,1,4,4,2,2,1,0,0,0,1,0,0,0,.500,.500,.750,1.250,240,3,0,0,0,0,0,1.0000,33,4
34,Maikel García,24,Kansas City Royals,KCR,1,4,4,1,1,0,0,1,1,0,0,0,1,.250,.250,1.000,1.250,240,4,0,0,0,0,0,1.0000,34,4
35,Jorge Mateo,29,Baltimore Orioles,BAL,1,4,3,2,1,1,0,0,0,1,0,1,1,.333,.500,.667,1.167,236,2,0,0,0,0,0,1.0000,35,4
36,Cedric Mullins,29,Baltimore Orioles,BAL,1,4,4,1,1,0,0,1,3,0,0,0,0,.250,.250,1.000,1.250,240,4,0,0,0,0,0,1.0000,36,4
37,George Springer,34,Toronto Blue Jays,TOR,1,5,4,2,1,0,0,1,1,0,0,1,0,.250,.400,1.000,1.400,290,4,0,0,0,0,0,1.0000,37,5
38,Jack Suwinski,25,Pittsburgh Pirates,PIT,1,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,48,0,0,0,0,0,1,1.0000,38,2
39,Ke'Bryan Hayes,27,Pittsburgh Pirates,PIT,1,6,4,1,2,1,0,0,0,0,0,2,1,.500,.667,.750,1.417,289,3,0,0,0,0,0,0.8333,39,5
40,Cody Bellinger,28,Chicago Cubs,CHC,1,5,4,0,1,1,0,0,1,0,0,1,1,.250,.400,.500,.900,146,2,0,0,0,0,1,0.8000,40,4
41,Bo Bichette,26,Toronto Blue Jays,TOR,1,5,4,1,2,1,0,0,2,0,0,1,1,.500,.600,.750,1.350,291,3,0,0,0,0,0,0.8000,41,4
42,Freddie Freeman,34,Los Angeles Dodgers,LAD,3,15,9,2,3,0,0,1,3,0,0,5,4,.333,.600,.667,1.267,247,6,0,1,0,0,0,0.8000,42,12
43,Tyler Freeman,25,Cleveland Guardians,CLE,1,5,4,1,2,1,0,0,1,0,0,0,0,.500,.600,.750,1.350,291,3,0,1,0,0,0,0.8000,43,4
44,David Fry,28,Cleveland Guardians,CLE,1,5,4,2,3,1,0,0,1,0,0,0,0,.750,.600,1.000,1.600,355,4,0,0,0,1,0,0.8000,44,4
45,Vladimir Guerrero Jr,25,Toronto Blue Jays,TOR,1,5,5,1,1,0,0,1,1,0,0,0,1,.200,.200,.800,1.000,172,4,0,0,0,0,0,0.8000,45,4
46,Josh Jung,26,Texas Rangers,TEX,1,5,3,2,1,1,0,0,0,0,0,2,0,.333,.600,.667,1.267,269,2,0,0,0,0,0,0.8000,46,4
47,Christopher Morel,25,Chicago Cubs,CHC,1,5,5,1,2,0,1,0,0,0,0,0,1,.400,.400,.800,1.200,223,4,0,0,0,0,0,0.8000,47,4
48,Anthony Santander,29,Baltimore Orioles,BAL,1,5,4,1,1,0,0,1,4,0,0,0,0,.250,.200,1.000,1.200,224,4,0,0,0,1,0,0.8000,48,4
49,Anthony Volpe,23,New York Yankees,NYY,1,5,2,0,1,0,0,0,1,0,0,3,1,.500,.800,.500,1.300,292,1,0,0,0,0,0,0.8000,49,4
50,Christian Walker,33,Arizona Diamondbacks,ARI,1,5,4,2,2,1,0,0,2,0,0,1,2,.500,.600,.750,1.350,269,3,0,0,0,0,0,0.8000,50,4
51,JJ Bleday,26,Oakland Athletics,OAK,1,4,4,0,2,1,0,0,0,0,0,0,1,.500,.500,.750,1.250,258,3,0,0,0,0,0,0.7500,51,3
52,Michael Busch,26,Chicago Cubs,CHC,1,4,2,1,1,0,0,0,0,0,0,2,1,.500,.750,.500,1.250,250,1,0,0,0,0,0,0.7500,52,3
